quantile,group1,group2,emp_diff,theo_diff,diff_in_diff
0.1,11.5728393128863,92.2327511652956,-80.6599118524092,-78.4,2.25991185240923
0.2,12.2118182897596,182.042258857088,-169.830440567328,-167.8,2.03044056732847
0.3,12.8279649371886,270.001776920833,-257.173811983645,-257.2,0.0261880163553201
0.4,13.4225036249317,360.222585923419,-346.800082298487,-346.6,0.200082298487132
0.5,14.0091230178552,447.405954576115,-433.39683155826,-436,2.60316844174002
0.6,14.6180148048271,539.190455577244,-524.572440772417,-525.4,0.827559227582697
0.7,15.2046852011126,630.460594779635,-615.255909578523,-614.8,0.455909578522892
0.8,15.825808903383,718.970048798302,-703.144239894919,-704.2,1.05576010508128
0.9,16.4179856931696,809.10085745051,-792.68287175734,-793.6,0.917128242659601
